date,team,home,mp.mean,fg.total,fga.total,fg_pct.mean,fg3.total,fg3a.total,fg3_pct.mean,ft.total,fta.total,ft_pct.mean,orb.total,drb.total,trb.total,ast.total,stl.total,blk.total,tov.total,pf.total,pts.total,plus_minus.mean,ts_pct.mean,fg3a_per_fga_pct.mean,fta_per_fga_pct.mean,orb_pct.mean,drb_pct.mean,trb_pct.mean,ast_pct.mean,stl_pct.mean,blk_pct.mean,tov_pct.mean,usg_pct.mean,off_rtg.mean,def_rtg.mean
2017-03-31,Utah Jazz,1,26.666666666666668,33,72,0.43133333333333335,10,25,0.3477142857142857,19,31,0.6916666666666667,7,35,42,20,9,7,10,18,95,3.888888888888889,0.5241111111111111,0.34933333333333333,0.39066666666666666,6.21111111111111,13.28888888888889,10.177777777777777,13.944444444444445,1.8666666666666667,2.088888888888889,12.011111111111111,20.88888888888889,108,99
2017-03-31,Washington Wizards,0,24,35,87,0.40455555555555556,5,17,0.1802857142857143,13,16,0.625,14,31,45,12,8,1,14,23,88,-3.5,0.4445555555555556,0.2531111111111111,0.1428888888888889,5.41,21.4,12.41,7.840000000000001,1.73,2.7399999999999998,23.83,18.48,91.7,104.4
2017-04-01,Atlanta Hawks,0,24,40,90,0.3907,11,28,0.3406666666666667,13,17,0.75,11,34,45,25,4,1,13,16,104,-1,0.4905,0.4552,0.1358,3.92,19.43,11.209999999999999,14.06,0.72,0.22999999999999998,11.69,18.38,93.2,110.8
2017-04-01,Brooklyn Nets,1,21.81818181818182,50,94,0.5074545454545455,8,31,0.1999,13,16,0.8,9,35,44,26,8,5,11,15,121,4.545454545454546,0.5546363636363636,0.3577272727272727,0.256,4.2,15.054545454545455,9.981818181818182,11.581818181818182,1.7636363636363637,1.4636363636363636,9.172727272727272,19.045454545454547,116.81818181818181,110.72727272727273
2017-04-01,Chicago Bulls,1,26.666666666666664,40,85,0.4122222222222222,12,30,0.4107142857142857,14,14,1,6,34,40,25,6,4,12,17,106,1.1111111111111112,0.5116666666666667,0.43722222222222223,0.12777777777777777,3.033333333333333,14.733333333333333,9.222222222222221,14.911111111111111,1.1444444444444444,1.1444444444444444,7.611111111111111,18.96666666666667,102.22222222222223,108.77777777777777
2017-04-01,Los Angeles Clippers,1,24,38,69,0.4954,11,25,0.363,28,34,0.8773333333333333,4,35,39,24,8,5,17,19,115,5.5,0.5514,0.3685,0.585,3.22,14.120000000000001,10.03,12.27,1.26,1.4,11.23,17.62,100,108.8
2017-04-01,Los Angeles Lakers,0,24,39,90,0.4628,6,23,0.32385714285714284,20,30,0.7111666666666667,15,26,41,26,12,2,11,27,104,-5.5,0.5397,0.2744,0.4173,5.87,20.349999999999998,11.3,17.38,2.7,0.8899999999999999,10.44,20.33,111.6,119.5
2017-04-01,Minnesota Timberwolves,1,24,39,87,0.4315,9,27,0.20788888888888887,30,38,0.8047142857142857,10,31,41,27,8,4,10,23,117,-3,0.5485,0.3055,0.4721,4.9,17.01,10.57,15.68,1.46,2.7199999999999998,6.47,20.25,116.8,120.5
2017-04-01,Orlando Magic,0,26.666666666666664,45,91,0.3801111111111111,10,25,0.35262499999999997,11,15,0.59375,11,31,42,26,9,2,14,15,111,-5.555555555555555,0.442,0.29744444444444446,0.14477777777777778,4.0777777777777775,12.433333333333334,7.955555555555556,13.244444444444445,1.7222222222222223,0.7222222222222222,14.31111111111111,18.57777777777778,96.77777777777777,121.66666666666667
2017-04-01,Phoenix Suns,0,26.666666666666668,44,84,0.5569999999999999,3,10,0.3,26,32,0.8265714285714286,13,30,43,17,8,6,17,26,117,-7.222222222222222,0.62,0.102375,0.33475,7.7,14.555555555555555,11.033333333333333,8.455555555555556,1.6111111111111112,2.611111111111111,13.8,17.7,130.66666666666666,128.11111111111111
2017-04-01,Portland Trail Blazers,1,21.81969696969697,43,92,0.4289,15,37,0.2996666666666667,29,31,0.8833333333333333,11,30,41,21,12,3,12,23,130,5.909090909090909,0.5439,0.4066,0.2836,3.7636363636363637,11.790909090909091,7.863636363636363,8.845454545454546,3.772727272727273,0.7000000000000001,7.6899999999999995,19.236363636363635,100.63636363636364,112.72727272727273
2017-04-01,Sacramento Kings,0,23.998333333333335,44,78,0.5797,11,19,0.4434,24,33,0.631,7,33,40,27,5,4,17,27,123,3,0.6617,0.1952,0.4318,4.46,15.55,10.35,13.64,0.87,1.24,17.169999999999998,19.93,118.7,116.6
2017-04-02,Atlanta Hawks,0,24,30,80,0.3337,7,24,0.2887777777777778,15,23,0.6221666666666666,8,36,44,19,9,4,19,19,82,-4.5,0.4016,0.384,0.2646,4.06,16.25,9.719999999999999,14.180000000000001,1.96,1.38,15.93,18.19,76.7,92
2017-04-02,Boston Celtics,0,19.99861111111111,40,72,0.5186666666666667,12,37,0.3312727272727273,18,26,0.7258888888888889,5,36,41,22,8,3,17,25,110,6.666666666666667,0.58,0.5228333333333334,0.45425,2.8583333333333334,17.908333333333335,11.941666666666666,13.275,1.775,1.575,18.308333333333334,19.691666666666666,100.25,98.66666666666667
2017-04-02,Brooklyn Nets,1,21.818181818181817,32,82,0.31663636363636366,10,33,0.2929,17,20,0.88125,8,43,51,21,11,6,19,22,91,4.090909090909091,0.42263636363636364,0.4038181818181818,0.303,3.1454545454545455,16.836363636363636,10.50909090909091,17.07272727272727,2.081818181818182,1.6272727272727272,16.554545454545455,19.30909090909091,81.36363636363636,82.72727272727273
2017-04-02,Charlotte Hornets,0,24,37,77,0.4266,11,30,0.2642857142857143,28,32,0.912125,3,34,37,20,18,5,16,13,113,6,0.5414,0.3175,0.4086,2.05,16.2,9.39,12.54,3.7,1.5499999999999998,18.04,20.330000000000002,101.8,97.4
2017-04-02,Chicago Bulls,0,26.666666666666668,45,92,0.4671111111111111,13,26,0.40625,14,18,0.825,9,40,49,26,7,6,11,23,117,3.888888888888889,0.5623333333333334,0.33211111111111113,0.18244444444444444,3.8000000000000003,17.92222222222222,11.1,14.966666666666667,1.3666666666666667,2.8666666666666667,12.833333333333334,19.18888888888889,112.33333333333333,109.55555555555556
2017-04-02,Cleveland Cavaliers,1,32.22222222222222,47,95,0.4282222222222222,18,43,0.330625,23,33,0.6666666666666666,15,41,56,29,7,4,13,19,135,2.7777777777777777,0.587,0.5584444444444444,0.4557777777777778,4.511111111111111,16.177777777777777,10.555555555555555,16.444444444444443,1.0555555555555556,1.3888888888888888,13.544444444444444,17.9,117.55555555555556,121.77777777777777
2017-04-02,Dallas Mavericks,0,21.81818181818182,38,73,0.5194545454545455,14,36,0.384,19,20,0.9375,4,26,30,25,7,1,13,18,109,1.8181818181818181,0.6285454545454545,0.41763636363636364,0.23354545454545456,5.372727272727273,18.318181818181817,11.545454545454545,14.590909090909092,1.4545454545454546,0.3909090909090909,11.872727272727273,19.754545454545454,124.18181818181819,116.27272727272727
2017-04-02,Denver Nuggets,0,26.666666666666668,44,87,0.48424999999999996,5,20,0.219,23,27,0.8785714285714286,6,34,40,25,9,6,8,14,116,1.6666666666666667,0.564125,0.206625,0.403125,2.533333333333333,14.966666666666667,8.822222222222223,12.6,1.6777777777777778,2.6777777777777776,7.3375,17.977777777777778,100.55555555555556,115.88888888888889
2017-04-02,Golden State Warriors,1,20.00138888888889,50,88,0.5233636363636364,16,36,0.31557142857142856,23,26,0.9334,10,34,44,34,7,10,16,20,139,10,0.6649090909090909,0.404,0.42454545454545456,8.816666666666666,19.641666666666666,14.491666666666667,11.841666666666667,1.4333333333333333,4.1,20.575,19.258333333333333,120.83333333333333,108.5
2017-04-02,Houston Rockets,0,24,47,100,0.39666666666666667,14,38,0.2352857142857143,15,23,0.5903333333333334,13,33,46,23,8,4,15,23,123,3.5,0.4686666666666667,0.44333333333333336,0.275,3.89,11.76,7.93,9.96,1.55,1.06,22.48,18.67,85.8,105.4
2017-04-02,Indiana Pacers,0,29,48,105,0.4271,16,41,0.234375,18,20,0.9523333333333334,12,34,46,32,6,3,9,24,130,-2.5,0.5015999999999999,0.2756,0.1738,5.24,12.75,8.84,14,0.73,1.24,5.97,19.8,111.9,127.6
2017-04-02,Los Angeles Lakers,1,26.666666666666668,40,85,0.4618888888888889,7,19,0.4916666666666667,21,27,0.7832857142857143,17,34,51,14,11,2,13,12,108,2.7777777777777777,0.5296666666666666,0.16899999999999998,0.32755555555555554,7.777777777777778,15.255555555555556,11.255555555555556,8.577777777777778,3.1333333333333333,0.5666666666666667,10.4,19.822222222222223,117.33333333333333,110.11111111111111
2017-04-02,Memphis Grizzlies,0,30,40,80,0.577,13,30,0.4015,10,14,0.7,5,28,33,29,8,5,14,19,103,-3.125,0.658125,0.310125,0.165375,2.4124999999999996,11.3875,7.2125,16.875,1.8625,1.675,20.1875,19.3,105.375,117.25
2017-04-02,Miami Heat,1,24,42,87,0.4631,13,27,0.44175000000000003,16,21,0.76,7,34,41,26,3,9,10,22,113,-1.5,0.5618,0.4009,0.1725,3.35,19.8,11.47,13.69,0.85,2.73,7.83,19.16,114.6,117.3
2017-04-02,Milwaukee Bucks,1,20,39,77,0.4984166666666667,12,34,0.381,15,18,0.8056666666666666,4,29,33,25,9,3,13,20,105,-1.6666666666666667,0.5800833333333333,0.445,0.23333333333333334,3.3916666666666666,18.558333333333334,11.458333333333332,13.708333333333334,1.9083333333333334,2.0416666666666665,15.083333333333334,20.475,105.58333333333333,120.33333333333333
2017-04-02,New Orleans Pelicans,1,26.666666666666668,33,81,0.395375,10,30,0.322875,34,35,0.9858,6,34,40,24,7,4,12,14,110,-3.888888888888889,0.562125,0.416625,0.335625,2.2555555555555555,11.777777777777779,6.855555555555555,16.1,1.3888888888888888,0.9777777777777777,7.25,16.81111111111111,100.11111111111111,118.55555555555556
2017-04-02,New York Knicks,1,21.818181818181817,33,85,0.39690909090909093,7,25,0.25283333333333335,21,25,0.7916666666666666,8,24,32,20,12,2,11,20,94,-7.2727272727272725,0.5006363636363637,0.25581818181818183,0.37272727272727274,4.536363636363636,17.918181818181818,9.845454545454546,14.572727272727272,2.790909090909091,1.4454545454545455,10.372727272727273,20.3,96.72727272727273,115.72727272727273
2017-04-02,Oklahoma City Thunder,1,21.81818181818182,39,84,0.4499090909090909,12,31,0.3932857142857143,11,12,0.8333333333333334,7,35,42,19,10,5,24,20,101,-5.454545454545454,0.5181818181818182,0.3630909090909091,0.06727272727272728,3.4181818181818184,16.6,9.745454545454546,10.490909090909092,1.7818181818181817,2.4272727272727272,21.236363636363635,17.754545454545454,82.45454545454545,109.63636363636364
2017-04-02,Philadelphia 76ers,0,24,36,80,0.4701,11,36,0.28844444444444445,22,25,0.8332857142857143,13,24,37,25,8,5,19,20,105,-4,0.58,0.4323,0.2823,9.67,13.38,11.38,17.48,1.75,1.6500000000000001,15.77,20.8,116.1,119.5
2017-04-02,Phoenix Suns,1,26.666666666666668,42,100,0.3616666666666667,8,34,0.1717142857142857,24,29,0.7083333333333334,22,39,61,24,8,11,23,24,116,-3.888888888888889,0.43755555555555553,0.3224444444444445,0.27755555555555556,11.844444444444445,14.8,13.277777777777779,12.5,1.6666666666666667,4.644444444444444,15.233333333333333,21.31111111111111,97.55555555555556,110.66666666666667
2017-04-02,San Antonio Spurs,1,26.668518518518518,40,77,0.541625,10,19,0.5332,19,22,0.90875,8,34,42,26,7,6,13,17,109,3.3333333333333335,0.667875,0.260125,0.317875,4.466666666666667,13.655555555555557,9.88888888888889,14.855555555555556,1.4333333333333333,1.8222222222222222,12.725,17.533333333333335,114.33333333333333,114.44444444444444
2017-04-02,Toronto Raptors,1,21.818181818181817,46,85,0.5236,6,19,0.2976666666666667,15,19,0.75,10,27,37,25,12,9,15,19,113,3.6363636363636362,0.6031,0.242,0.2462,5.236363636363636,12.345454545454546,9.1,10.09090909090909,2.381818181818182,3.4727272727272727,14.09,18.527272727272727,107.72727272727273,112.63636363636364
2017-04-02,Utah Jazz,0,26.668518518518518,43,89,0.4935555555555555,9,24,0.4142857142857143,8,13,0.5875,12,24,36,24,6,8,10,18,103,-3.3333333333333335,0.5592222222222223,0.26844444444444443,0.19955555555555557,5.488888888888889,17.955555555555556,10.61111111111111,13.3,1.2666666666666666,2.9444444444444446,8.433333333333334,19.833333333333336,112.55555555555556,121
